title,author,lenght
"21. Harry Potter and the Chamber of Secrets, Book 2",By: J.K. Rowling,Length: 9 hrs and 3 mins
22. The Seven Husbands of Evelyn Hugo,By: Taylor Jenkins Reid,Length: 12 hrs and 10 mins
23. It Ends with Us,By: Colleen Hoover,Length: 11 hrs and 11 mins
24. How to Win Friends & Influence People,By: Dale Carnegie,Length: 7 hrs and 15 mins
"25. Harry Potter and the Prisoner of Azkaban, Book 3",By: J.K. Rowling,Length: 11 hrs and 49 mins
"26. Harry Potter and the Goblet of Fire, Book 4",By: J.K. Rowling,Length: 20 hrs and 37 mins
27. The Body Keeps the Score,By: Bessel A. van der Kolk,Length: 16 hrs and 15 mins
28. The Alchemist,By: Paulo Coelho,Length: 4 hrs
"29. Harry Potter and the Order of the Phoenix, Book 5",By: J.K. Rowling,Length: 26 hrs and 29 mins
30. Dune,By: Frank Herbert,Length: 21 hrs and 2 mins
"31. Harry Potter and the Deathly Hallows, Book 7",By: J.K. Rowling,Length: 21 hrs and 37 mins
32. The Midnight Library,By: Matt Haig,Length: 8 hrs and 50 mins
33. The Psychology of Money,By: Morgan Housel,Length: 5 hrs and 48 mins
34. Killing Floor,By: Lee Child,Length: 17 hrs and 47 mins
"35. Harry Potter and the Half-Blood Prince, Book 6",By: J.K. Rowling,Length: 18 hrs and 32 mins
36. The Last Thing He Told Me,By: Laura Dave,Length: 8 hrs and 49 mins
37. Reminders of Him,By: Colleen Hoover,Length: 10 hrs and 17 mins
38. Apples Never Fall,By: Liane Moriarty,Length: 18 hrs and 3 mins
39. Crave,By: Tracy Wolff,Length: 14 hrs and 56 mins
40. The Judge's List,By: John Grisham,Length: 11 hrs and 36 mins
41. The 7 Habits of Highly Effective People,By: Stephen R. Covey,Length: 13 hrs and 4 mins
42. 48 Laws of Power,By: Robert Greene,Length: 23 hrs and 6 mins
43. Abandoned in Death,By: J. D. Robb,Length: 13 hrs and 16 mins
44. The 1619 Project,"By: Nikole Hannah-Jones, The New York Times Magazine, Caitlin Roper - editor, Ilena Silverman - editor, Jake Silverstein - editor",Length: 18 hrs and 57 mins
45. Where the Crawdads Sing,By: Delia Owens,Length: 12 hrs and 12 mins
46. Rich Dad Poor Dad: 20th Anniversary Edition,By: Robert T. Kiyosaki,Length: 8 hrs and 22 mins
47. Never Split the Difference,By: Chris Voss,Length: 8 hrs and 7 mins
48. Extreme Ownership,"By: Jocko Willink, Leif Babin",Length: 9 hrs and 33 mins
49. Red-Handed,By: Peter Schweizer,Length: 7 hrs and 48 mins
50. The Four Agreements,By: don Miguel Ruiz,Length: 2 hrs and 31 mins
51. Diablo Mesa,"By: Douglas Preston, Lincoln Child",Length: 11 hrs and 55 mins
52. Wish You Were Here,By: Jodi Picoult,Length: 11 hrs and 47 mins
